PotLabel,Line,OtherNamesonRecord,DatePlanted,StandCount,StandCountCleaned,DateTaken,NumInfected,DateObserved,Replant,Year,Row,DateReplanted,StandCount1,StandCount2,StandCount3,DateReplantTaken,ReplantInfected1,ReplantInfected2,ReplantInfected3,ReplantDateObserved,SusceptibilityRating03,BadStand,Remove,SCMVTests,GenoName,GBSDataSource,EndospermType,Region,Program,2019Planting,20142015Planting,UninfectedFirstRound,PercentInfectedFirstRound,PercentUninfectedFirstRound,SusceptibilityRating02,PercentInfectedAllRounds,SusceptibilityRating05
108,MDM3,,2019-01-29,7,7,2019-02-12,0,2019-02-21,y,13,4369,2019-05-22,8,6,5,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,NA,,,FALSE,FALSE,7,0,100,0,0,0
111,T62s,,2019-01-29,7,7,2019-02-12,0,2019-02-21,y,13,4536,2019-05-22,6,6,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,PI509045,all_sweet,su1,Sou,TN,TRUE,TRUE,7,0,100,0,0,0
125,IL794a,,2019-02-14,6 (1 small),6,2019-02-27,0,2019-03-08,y,13,4319,2019-05-22,5,6,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,IL794a,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,6,0,100,0,0,0
130,MDM-5,,2019-02-14,4,4,2019-02-27,0,2019-03-08,y,97,9748,2019-05-22,8,4,5,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,MDM_5,WiDivMerged,su1,,,TRUE,TRUE,4,0,100,0,0,0
141,AS11,,2019-02-14,7,7,2019-02-27,0,2019-03-08,y,13,4547,2019-05-22,8,8,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,AS11,all_sweet,su1,Mdw,MN,TRUE,TRUE,7,0,100,0,0,0
148,Ma83608,,2019-02-14,6,6,2019-02-27,0,2019-03-08,y,14,32402,2019-05-22,5,7,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,Ma83608,WiDivMerged,su1,Ne,MA,TRUE,TRUE,6,0,100,0,0,0
159,IL800a,,2019-02-14,5 (2 small),5,2019-02-27,0,2019-03-08,y,13,4327,2019-05-22,5,5,6,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,su1,Mdw,IL,TRUE,TRUE,5,0,100,0,0,0
196,83612b,,2019-02-14,8,8,2019-02-27,0,2019-03-08,y,13,3922,2019-05-22,8,8,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,83612b,WiDivMerged,su1,,,TRUE,TRUE,8,0,100,0,0,0
198,CI540,,2019-02-14,8,8,2019-02-27,0,2019-03-08,y,13,4007,2019-05-22,7,7,8,2019-06-07,0,1,0,2019-06-17,1,Fine,Keep,TRUE,CI540,WiDivMerged,NA,,,TRUE,FALSE,8,0,100,1,3.333333333,1
202,B73,,2019-02-14,7,7,2019-02-27,0,2019-03-08,y,,3-1-11-4,2019-05-22,8,7,8,2019-06-07,0,1,1,2019-06-17,1,Fine,Keep,TRUE,B73,WiDivMerged,field,Mdw,IA,TRUE,TRUE,7,0,100,1,6.666666667,1
